=== Log giải Sudoku 9x9 bằng Simulated Annealing ===
Bước 43: Swap (0,2) = 4 <=> (0,0) = 7 | Lỗi: 17 | Conflicts: 27 | Tổng: 1.2857s | Sigma: 64.2612
Bước 44: Swap (0,8) = 3 <=> (1,7) = 1 | Lỗi: 15 | Conflicts: 24 | Tổng: 1.3192s | Sigma: 63.6185
Bước 45: Swap (0,7) = 3 <=> (0,8) = 5 | Lỗi: 16 | Conflicts: 26 | Tổng: 1.3479s | Sigma: 62.9824
Bước 46: Swap (0,7) = 2 <=> (2,6) = 3 | Lỗi: 13 | Conflicts: 22 | Tổng: 1.3736s | Sigma: 62.3525
Bước 47: Swap (0,2) = 7 <=> (0,0) = 4 | Lỗi: 12 | Conflicts: 20 | Tổng: 1.4009s | Sigma: 61.7290
Bước 48: Swap (0,0) = 7 <=> (0,2) = 4 | Lỗi: 13 | Conflicts: 22 | Tổng: 1.4324s | Sigma: 61.1117
Bước 49: Swap (0,0) = 8 <=> (2,1) = 7 | Lỗi: 12 | Conflicts: 20 | Tổng: 1.4612s | Sigma: 60.5006
Bước 50: Swap (0,2) = 8 <=> (0,0) = 4 | Lỗi: 13 | Conflicts: 22 | Tổng: 1.4879s | Sigma: 59.8956
Bước 51: Swap (7,4) = 2 <=> (6,4) = 7 | Lỗi: 15 | Conflicts: 25 | Tổng: 1.5174s | Sigma: 59.2966
Bước 52: Swap (7,4) = 8 <=> (7,3) = 2 | Lỗi: 15 | Conflicts: 24 | Tổng: 1.5442s | Sigma: 58.7037
Bước 53: Swap (6,0) = 1 <=> (8,2) = 6 | Lỗi: 11 | Conflicts: 18 | Tổng: 1.5725s | Sigma: 58.1166
Bước 54: Swap (2,1) = 8 <=> (0,2) = 7 | Lỗi: 10 | Conflicts: 16 | Tổng: 1.6020s | Sigma: 57.5355
Bước 55: Swap (0,8) = 3 <=> (2,6) = 5 | Lỗi: 13 | Conflicts: 20 | Tổng: 1.6355s | Sigma: 56.9601
Bước 56: Swap (6,0) = 6 <=> (8,2) = 1 | Lỗi: 17 | Conflicts: 26 | Tổng: 1.6682s | Sigma: 56.3905
Bước 57: Swap (6,0) = 1 <=> (8,2) = 6 | Lỗi: 13 | Conflicts: 20 | Tổng: 1.6985s | Sigma: 55.8266
Bước 58: Swap (2,6) = 3 <=> (0,8) = 5 | Lỗi: 10 | Conflicts: 16 | Tổng: 1.7276s | Sigma: 55.2683
Bước 59: Swap (6,4) = 2 <=> (7,3) = 7 | Lỗi:  6 | Conflicts: 10 | Tổng: 1.7594s | Sigma: 54.7157
Bước 60: Swap (7,3) = 8 <=> (7,4) = 7 | Lỗi:  8 | Conflicts: 14 | Tổng: 1.7881s | Sigma: 54.1685
Bước 61: Swap (0,2) = 8 <=> (2,1) = 7 | Lỗi:  9 | Conflicts: 16 | Tổng: 1.8205s | Sigma: 53.6268
Bước 62: Swap (2,6) = 1 <=> (1,7) = 3 | Lỗi: 13 | Conflicts: 22 | Tổng: 1.8534s | Sigma: 53.0906
Bước 63: Swap (2,1) = 8 <=> (0,2) = 7 | Lỗi: 12 | Conflicts: 20 | Tổng: 1.8851s | Sigma: 52.5596
Bước 64: Swap (6,0) = 6 <=> (8,2) = 1 | Lỗi: 16 | Conflicts: 25 | Tổng: 1.9171s | Sigma: 52.0341
Bước 65: Swap (0,7) = 3 <=> (1,7) = 2 | Lỗi: 17 | Conflicts: 26 | Tổng: 1.9513s | Sigma: 51.5137
Bước 66: Swap (1,7) = 5 <=> (0,8) = 2 | Lỗi: 15 | Conflicts: 23 | Tổng: 1.9810s | Sigma: 50.9986
Bước 67: Swap (0,7) = 1 <=> (2,6) = 3 | Lỗi: 12 | Conflicts: 20 | Tổng: 2.0085s | Sigma: 50.4886
Bước 68: Swap (7,4) = 2 <=> (6,4) = 7 | Lỗi: 14 | Conflicts: 23 | Tổng: 2.0392s | Sigma: 49.9837
Bước 69: Swap (6,4) = 8 <=> (7,3) = 7 | Lỗi: 12 | Conflicts: 20 | Tổng: 2.0704s | Sigma: 49.4839
