=== Log giải Sudoku 9x9 bằng Simulated Annealing ===
Bước 188: Swap (3,0) = 3 <=> (3,2) = 9 | Lỗi:  2 | Conflicts: 4 | Tổng: 96.4373s | Sigma: 13.9476
Bước 189: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi:  6 | Conflicts: 10 | Tổng: 96.9533s | Sigma: 13.8081
Bước 190: Swap (7,2) = 1 <=> (6,2) = 3 | Lỗi:  7 | Conflicts: 12 | Tổng: 97.4693s | Sigma: 13.5333
Bước 191: Swap (7,7) = 7 <=> (8,8) = 6 | Lỗi:  3 | Conflicts: 6 | Tổng: 97.9853s | Sigma: 13.3980
Bước 192: Swap (6,2) = 1 <=> (7,2) = 3 | Lỗi:  2 | Conflicts: 4 | Tổng: 98.5015s | Sigma: 13.2640
Bước 193: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi:  6 | Conflicts: 10 | Tổng: 99.0174s | Sigma: 13.1313
Bước 194: Swap (3,0) = 9 <=> (3,2) = 3 | Lỗi:  8 | Conflicts: 14 | Tổng: 99.5333s | Sigma: 13.0000
Bước 195: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi:  4 | Conflicts: 8 | Tổng: 100.0483s | Sigma: 12.8700
Bước 196: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi:  8 | Conflicts: 14 | Tổng: 100.5645s | Sigma: 12.7413
Bước 197: Swap (7,4) = 2 <=> (8,4) = 1 | Lỗi:  8 | Conflicts: 14 | Tổng: 101.0795s | Sigma: 12.4878
Bước 198: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi: 12 | Conflicts: 20 | Tổng: 101.5955s | Sigma: 12.2393
Bước 199: Swap (6,4) = 2 <=> (7,4) = 3 | Lỗi: 12 | Conflicts: 19 | Tổng: 102.1114s | Sigma: 12.1169
Bước 200: Swap (8,8) = 6 <=> (7,7) = 7 | Lỗi:  8 | Conflicts: 13 | Tổng: 102.6271s | Sigma: 11.9957
Bước 201: Swap (7,4) = 2 <=> (6,4) = 3 | Lỗi:  8 | Conflicts: 14 | Tổng: 103.1423s | Sigma: 11.8758
Bước 202: Swap (7,2) = 1 <=> (6,2) = 3 | Lỗi:  8 | Conflicts: 13 | Tổng: 103.6572s | Sigma: 11.7570
Bước 203: Swap (3,0) = 3 <=> (3,2) = 9 | Lỗi:  6 | Conflicts: 10 | Tổng: 104.1732s | Sigma: 11.6394
Bước 204: Swap (3,2) = 7 <=> (4,2) = 9 | Lỗi:  8 | Conflicts: 13 | Tổng: 104.6893s | Sigma: 11.4078
Bước 205: Swap (6,2) = 1 <=> (7,2) = 3 | Lỗi:  8 | Conflicts: 13 | Tổng: 105.2054s | Sigma: 11.2937
Bước 206: Swap (0,0) = 7 <=> (1,2) = 4 | Lỗi:  4 | Conflicts: 8 | Tổng: 105.7203s | Sigma: 11.1808
Bước 207: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi:  8 | Conflicts: 14 | Tổng: 106.2394s | Sigma: 11.0690
Bước 208: Swap (6,4) = 2 <=> (7,4) = 3 | Lỗi:  8 | Conflicts: 14 | Tổng: 106.7544s | Sigma: 10.9583
Bước 209: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi: 12 | Conflicts: 19 | Tổng: 107.2706s | Sigma: 10.8487
Bước 210: Swap (0,0) = 7 <=> (1,2) = 4 | Lỗi:  8 | Conflicts: 14 | Tổng: 107.7865s | Sigma: 10.7402
Bước 211: Swap (0,0) = 4 <=> (1,2) = 7 | Lỗi: 12 | Conflicts: 19 | Tổng: 108.3022s | Sigma: 10.6328
Bước 212: Swap (6,2) = 3 <=> (7,2) = 1 | Lỗi: 10 | Conflicts: 15 | Tổng: 108.8184s | Sigma: 10.5265
Bước 213: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi:  6 | Conflicts: 10 | Tổng: 109.3333s | Sigma: 10.4212
Bước 214: Swap (6,2) = 6 <=> (6,0) = 3 | Lỗi:  8 | Conflicts: 14 | Tổng: 109.8526s | Sigma: 10.1117
Bước 215: Swap (3,2) = 9 <=> (4,2) = 7 | Lỗi:  6 | Conflicts: 10 | Tổng: 110.3672s | Sigma: 10.0106
Bước 216: Swap (0,0) = 4 <=> (1,2) = 7 | Lỗi: 10 | Conflicts: 16 | Tổng: 110.8824s | Sigma: 9.8114
Bước 217: Swap (6,4) = 3 <=> (7,4) = 2 | Lỗi: 12 | Conflicts: 19 | Tổng: 111.3983s | Sigma: 9.7133
Bước 218: Swap (0,0) = 7 <=> (1,2) = 4 | Lỗi:  8 | Conflicts: 13 | Tổng: 111.9141s | Sigma: 9.6161
Bước 219: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi: 12 | Conflicts: 19 | Tổng: 112.4296s | Sigma: 9.5200
Bước 220: Swap (3,0) = 7 <=> (4,2) = 3 | Lỗi: 12 | Conflicts: 21 | Tổng: 112.9454s | Sigma: 9.4248
Bước 221: Swap (8,8) = 6 <=> (7,7) = 7 | Lỗi:  8 | Conflicts: 15 | Tổng: 113.4613s | Sigma: 9.3305
Bước 222: Swap (3,2) = 7 <=> (3,0) = 9 | Lỗi: 10 | Conflicts: 17 | Tổng: 113.9762s | Sigma: 9.2372
Bước 223: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi: 14 | Conflicts: 23 | Tổng: 114.4924s | Sigma: 9.1448
Bước 224: Swap (8,8) = 6 <=> (7,7) = 7 | Lỗi: 10 | Conflicts: 17 | Tổng: 115.0071s | Sigma: 9.0534
Bước 225: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi:  6 | Conflicts: 12 | Tổng: 115.5222s | Sigma: 8.9629
Bước 226: Swap (7,2) = 3 <=> (6,0) = 1 | Lỗi:  8 | Conflicts: 14 | Tổng: 116.0377s | Sigma: 8.8732
Bước 227: Swap (4,2) = 7 <=> (3,2) = 3 | Lỗi:  6 | Conflicts: 11 | Tổng: 116.5535s | Sigma: 8.7845
Bước 228: Swap (0,0) = 4 <=> (1,2) = 7 | Lỗi: 10 | Conflicts: 17 | Tổng: 117.0693s | Sigma: 8.6967
Bước 229: Swap (0,0) = 7 <=> (1,2) = 4 | Lỗi:  6 | Conflicts: 11 | Tổng: 117.5856s | Sigma: 8.6097
Bước 230: Swap (0,0) = 4 <=> (1,2) = 7 | Lỗi: 10 | Conflicts: 17 | Tổng: 118.1007s | Sigma: 8.5236
Bước 231: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi:  6 | Conflicts: 11 | Tổng: 118.6161s | Sigma: 8.4384
Bước 232: Swap (6,4) = 1 <=> (8,4) = 3 | Lỗi:  8 | Conflicts: 14 | Tổng: 119.1320s | Sigma: 8.3540
Bước 233: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi: 12 | Conflicts: 20 | Tổng: 119.6475s | Sigma: 8.2704
Bước 234: Swap (7,2) = 6 <=> (6,2) = 3 | Lỗi: 13 | Conflicts: 21 | Tổng: 120.1623s | Sigma: 8.1877
Bước 235: Swap (4,2) = 3 <=> (3,2) = 7 | Lỗi: 15 | Conflicts: 23 | Tổng: 120.6784s | Sigma: 8.1059
Bước 236: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi: 19 | Conflicts: 28 | Tổng: 121.1943s | Sigma: 8.0248
Bước 237: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi: 15 | Conflicts: 23 | Tổng: 121.7105s | Sigma: 7.9445
Bước 238: Swap (6,4) = 2 <=> (7,4) = 1 | Lỗi: 13 | Conflicts: 20 | Tổng: 122.2265s | Sigma: 7.8651
Bước 239: Swap (7,4) = 3 <=> (8,4) = 1 | Lỗi: 12 | Conflicts: 18 | Tổng: 122.7425s | Sigma: 7.7864
Bước 240: Swap (6,2) = 6 <=> (7,2) = 3 | Lỗi: 12 | Conflicts: 19 | Tổng: 123.2574s | Sigma: 7.7086
Bước 241: Swap (7,7) = 7 <=> (8,8) = 6 | Lỗi:  8 | Conflicts: 13 | Tổng: 123.7732s | Sigma: 7.6315
Bước 242: Swap (6,0) = 6 <=> (6,2) = 1 | Lỗi:  6 | Conflicts: 10 | Tổng: 124.2883s | Sigma: 7.5552
Bước 243: Swap (7,2) = 6 <=> (6,0) = 3 | Lỗi:  6 | Conflicts: 11 | Tổng: 124.8033s | Sigma: 7.4796
Bước 244: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi: 10 | Conflicts: 16 | Tổng: 125.3184s | Sigma: 7.4048
Bước 245: Swap (7,7) = 7 <=> (8,8) = 6 | Lỗi:  6 | Conflicts: 11 | Tổng: 125.8342s | Sigma: 7.3308
Bước 246: Swap (7,4) = 1 <=> (8,4) = 3 | Lỗi:  7 | Conflicts: 13 | Tổng: 126.3494s | Sigma: 7.2575
Bước 247: Swap (6,0) = 1 <=> (6,2) = 3 | Lỗi:  9 | Conflicts: 15 | Tổng: 126.8647s | Sigma: 7.1849
Bước 248: Swap (7,4) = 3 <=> (8,4) = 1 | Lỗi:  8 | Conflicts: 13 | Tổng: 127.3803s | Sigma: 7.1131
Bước 249: Swap (4,2) = 7 <=> (3,2) = 3 | Lỗi:  6 | Conflicts: 10 | Tổng: 127.8956s | Sigma: 7.0419
Bước 250: Swap (4,2) = 3 <=> (3,2) = 7 | Lỗi:  8 | Conflicts: 13 | Tổng: 128.4116s | Sigma: 6.8328
Bước 251: Swap (7,7) = 6 <=> (8,8) = 7 | Lỗi: 12 | Conflicts: 18 | Tổng: 128.9261s | Sigma: 6.7644
Bước 252: Swap (8,8) = 6 <=> (7,7) = 7 | Lỗi:  8 | Conflicts: 13 | Tổng: 129.4426s | Sigma: 6.6298
Bước 253: Swap (3,0) = 7 <=> (3,2) = 9 | Lỗi:  8 | Conflicts: 12 | Tổng: 129.9582s | Sigma: 6.5635
Bước 254: Swap (6,2) = 6 <=> (7,2) = 3 | Lỗi:  8 | Conflicts: 12 | Tổng: 130.4742s | Sigma: 6.4979
Bước 255: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi: 12 | Conflicts: 18 | Tổng: 130.9906s | Sigma: 6.3686
Bước 256: Swap (7,7) = 7 <=> (8,8) = 6 | Lỗi:  8 | Conflicts: 12 | Tổng: 131.5067s | Sigma: 6.3049
Bước 257: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi: 12 | Conflicts: 18 | Tổng: 132.0223s | Sigma: 6.2419
Bước 258: Swap (7,7) = 7 <=> (8,8) = 6 | Lỗi:  8 | Conflicts: 12 | Tổng: 132.5375s | Sigma: 6.1794
Bước 259: Swap (0,0) = 4 <=> (1,2) = 7 | Lỗi: 10 | Conflicts: 16 | Tổng: 133.0531s | Sigma: 6.1176
Bước 260: Swap (8,4) = 2 <=> (6,4) = 1 | Lỗi: 12 | Conflicts: 19 | Tổng: 133.5683s | Sigma: 6.0565
Bước 261: Swap (4,2) = 7 <=> (3,0) = 3 | Lỗi: 10 | Conflicts: 16 | Tổng: 134.0843s | Sigma: 5.9959
Bước 262: Swap (3,0) = 9 <=> (3,2) = 3 | Lỗi: 12 | Conflicts: 19 | Tổng: 134.6005s | Sigma: 5.9359
Bước 263: Swap (7,4) = 1 <=> (6,4) = 3 | Lỗi: 10 | Conflicts: 17 | Tổng: 135.1162s | Sigma: 5.8766
Bước 264: Swap (3,0) = 7 <=> (4,2) = 9 | Lỗi: 10 | Conflicts: 18 | Tổng: 135.6311s | Sigma: 5.8178
Bước 265: Swap (6,2) = 3 <=> (7,2) = 6 | Lỗi: 12 | Conflicts: 20 | Tổng: 136.1465s | Sigma: 5.7020
Bước 266: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi: 10 | Conflicts: 16 | Tổng: 136.6622s | Sigma: 5.6450
Bước 267: Swap (3,0) = 9 <=> (4,2) = 7 | Lỗi:  8 | Conflicts: 13 | Tổng: 137.1783s | Sigma: 5.5886
Bước 268: Swap (7,7) = 6 <=> (8,8) = 7 | Lỗi: 12 | Conflicts: 18 | Tổng: 137.6943s | Sigma: 5.5327
Bước 269: Swap (3,2) = 7 <=> (4,2) = 3 | Lỗi: 14 | Conflicts: 21 | Tổng: 138.2106s | Sigma: 5.4774
Bước 270: Swap (6,4) = 2 <=> (8,4) = 3 | Lỗi: 13 | Conflicts: 20 | Tổng: 138.7263s | Sigma: 5.4226
Bước 271: Swap (8,4) = 2 <=> (6,4) = 3 | Lỗi: 14 | Conflicts: 21 | Tổng: 139.2423s | Sigma: 5.3684
Bước 272: Swap (8,8) = 6 <=> (7,7) = 7 | Lỗi: 10 | Conflicts: 16 | Tổng: 139.7583s | Sigma: 5.3147
Bước 273: Swap (6,4) = 1 <=> (7,4) = 3 | Lỗi: 10 | Conflicts: 16 | Tổng: 140.2744s | Sigma: 5.2615
Bước 274: Swap (6,4) = 3 <=> (7,4) = 1 | Lỗi: 10 | Conflicts: 16 | Tổng: 140.7905s | Sigma: 5.2089
Bước 275: Swap (7,7) = 6 <=> (8,8) = 7 | Lỗi: 14 | Conflicts: 21 | Tổng: 141.3064s | Sigma: 5.1568
Bước 276: Swap (8,4) = 3 <=> (6,4) = 2 | Lỗi: 13 | Conflicts: 20 | Tổng: 141.8223s | Sigma: 5.1053
Bước 277: Swap (7,7) = 7 <=> (8,8) = 6 | Lỗi:  9 | Conflicts: 15 | Tổng: 142.3373s | Sigma: 5.0542
Bước 278: Swap (6,2) = 6 <=> (7,2) = 3 | Lỗi:  8 | Conflicts: 14 | Tổng: 142.8535s | Sigma: 4.9536
Bước 279: Swap (6,2) = 3 <=> (7,2) = 6 | Lỗi:  9 | Conflicts: 15 | Tổng: 143.3694s | Sigma: 4.9041
Bước 280: Swap (4,2) = 7 <=> (3,2) = 3 | Lỗi:  7 | Conflicts: 12 | Tổng: 143.8853s | Sigma: 4.8550
Bước 281: Swap (7,2) = 1 <=> (6,0) = 6 | Lỗi:  4 | Conflicts: 8 | Tổng: 144.4016s | Sigma: 4.7584
Bước 282: Swap (8,4) = 2 <=> (6,4) = 3 | Lỗi:  5 | Conflicts: 9 | Tổng: 144.9173s | Sigma: 4.7108
Bước 283: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi:  9 | Conflicts: 15 | Tổng: 145.4335s | Sigma: 4.6637
Bước 284: Swap (7,2) = 6 <=> (6,0) = 1 | Lỗi: 12 | Conflicts: 18 | Tổng: 145.9492s | Sigma: 4.6171
Bước 285: Swap (7,2) = 3 <=> (6,2) = 6 | Lỗi: 10 | Conflicts: 17 | Tổng: 146.4645s | Sigma: 4.5252
Bước 286: Swap (6,0) = 3 <=> (7,2) = 1 | Lỗi:  9 | Conflicts: 16 | Tổng: 146.9798s | Sigma: 4.3908
Bước 287: Swap (6,4) = 1 <=> (7,4) = 3 | Lỗi:  8 | Conflicts: 14 | Tổng: 147.4955s | Sigma: 4.3469
Bước 288: Swap (3,0) = 7 <=> (4,2) = 9 | Lỗi: 10 | Conflicts: 17 | Tổng: 148.0106s | Sigma: 4.3034
Bước 289: Swap (3,0) = 3 <=> (3,2) = 7 | Lỗi: 10 | Conflicts: 18 | Tổng: 148.5261s | Sigma: 4.2604
Bước 290: Swap (4,2) = 7 <=> (3,2) = 9 | Lỗi:  8 | Conflicts: 14 | Tổng: 149.0423s | Sigma: 4.2178
Bước 291: Swap (3,2) = 3 <=> (3,0) = 9 | Lỗi:  8 | Conflicts: 14 | Tổng: 149.5588s | Sigma: 4.1339
Bước 292: Swap (6,0) = 1 <=> (7,2) = 3 | Lỗi: 12 | Conflicts: 19 | Tổng: 150.0748s | Sigma: 4.0925
Bước 293: Swap (4,2) = 3 <=> (3,2) = 7 | Lỗi: 14 | Conflicts: 22 | Tổng: 150.5901s | Sigma: 4.0516
Bước 294: Swap (6,0) = 3 <=> (7,2) = 1 | Lỗi: 10 | Conflicts: 18 | Tổng: 151.1051s | Sigma: 4.0111
Bước 295: Swap (8,8) = 6 <=> (7,7) = 7 | Lỗi:  6 | Conflicts: 12 | Tổng: 151.6203s | Sigma: 3.9710
Bước 296: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi: 10 | Conflicts: 17 | Tổng: 152.1362s | Sigma: 3.9313
Bước 297: Swap (3,2) = 9 <=> (3,0) = 7 | Lỗi:  8 | Conflicts: 15 | Tổng: 152.6517s | Sigma: 3.8145
Bước 298: Swap (0,0) = 7 <=> (1,2) = 4 | Lỗi:  6 | Conflicts: 11 | Tổng: 153.1673s | Sigma: 3.7764
Bước 299: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi:  8 | Conflicts: 15 | Tổng: 153.6824s | Sigma: 3.7386
Bước 300: Swap (6,4) = 2 <=> (8,4) = 1 | Lỗi:  6 | Conflicts: 11 | Tổng: 154.1981s | Sigma: 3.6642
Bước 301: Swap (7,4) = 2 <=> (6,4) = 3 | Lỗi:  8 | Conflicts: 15 | Tổng: 154.7135s | Sigma: 3.5198
Bước 302: Swap (8,4) = 3 <=> (6,4) = 1 | Lỗi:  9 | Conflicts: 17 | Tổng: 155.2282s | Sigma: 3.4846
Bước 303: Swap (6,2) = 1 <=> (7,2) = 6 | Lỗi: 11 | Conflicts: 19 | Tổng: 155.7433s | Sigma: 3.4498
Bước 304: Swap (8,4) = 1 <=> (6,4) = 3 | Lỗi: 10 | Conflicts: 18 | Tổng: 156.2593s | Sigma: 3.3473
Bước 305: Swap (0,0) = 7 <=> (1,2) = 4 | Lỗi:  8 | Conflicts: 14 | Tổng: 156.7747s | Sigma: 3.2807
Bước 306: Swap (3,2) = 3 <=> (4,2) = 9 | Lỗi:  8 | Conflicts: 14 | Tổng: 157.2902s | Sigma: 3.2479
Bước 307: Swap (6,2) = 3 <=> (6,0) = 1 | Lỗi: 10 | Conflicts: 16 | Tổng: 157.8106s | Sigma: 3.2154
Bước 308: Swap (3,0) = 9 <=> (4,2) = 7 | Lỗi:  8 | Conflicts: 13 | Tổng: 158.3265s | Sigma: 3.1199
Bước 309: Swap (6,2) = 1 <=> (6,0) = 3 | Lỗi:  6 | Conflicts: 11 | Tổng: 158.8413s | Sigma: 3.0578
Bước 310: Swap (7,2) = 3 <=> (6,0) = 6 | Lỗi:  4 | Conflicts: 8 | Tổng: 159.3564s | Sigma: 3.0272
Bước 311: Swap (3,2) = 9 <=> (3,0) = 3 | Lỗi:  2 | Conflicts: 4 | Tổng: 159.8716s | Sigma: 2.9970
Bước 312: Swap (8,4) = 2 <=> (7,4) = 1 | Lỗi:  2 | Conflicts: 4 | Tổng: 160.3877s | Sigma: 2.9080
Bước 313: Swap (6,4) = 2 <=> (8,4) = 3 | Lỗi:  2 | Conflicts: 4 | Tổng: 160.9035s | Sigma: 2.8216
Bước 314: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi:  6 | Conflicts: 10 | Tổng: 161.4190s | Sigma: 2.7378
Bước 315: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi:  2 | Conflicts: 4 | Tổng: 161.9350s | Sigma: 2.6565
Bước 316: Swap (8,4) = 1 <=> (7,4) = 3 | Lỗi:  2 | Conflicts: 4 | Tổng: 162.4505s | Sigma: 2.6299
Bước 317: Swap (8,4) = 2 <=> (6,4) = 1 | Lỗi:  4 | Conflicts: 7 | Tổng: 162.9654s | Sigma: 2.6036
Bước 318: Swap (8,4) = 3 <=> (7,4) = 2 | Lỗi:  4 | Conflicts: 7 | Tổng: 163.4813s | Sigma: 2.5776
Bước 319: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi:  8 | Conflicts: 13 | Tổng: 163.9966s | Sigma: 2.5010
Bước 320: Swap (4,2) = 3 <=> (3,0) = 7 | Lỗi: 12 | Conflicts: 19 | Tổng: 164.5125s | Sigma: 2.4267
Bước 321: Swap (3,2) = 7 <=> (3,0) = 9 | Lỗi: 12 | Conflicts: 20 | Tổng: 165.0279s | Sigma: 2.4025
Bước 322: Swap (7,7) = 7 <=> (8,8) = 6 | Lỗi:  8 | Conflicts: 14 | Tổng: 165.5434s | Sigma: 2.3784
Bước 323: Swap (3,0) = 3 <=> (4,2) = 9 | Lỗi:  6 | Conflicts: 11 | Tổng: 166.0586s | Sigma: 2.3078
Bước 324: Swap (3,0) = 7 <=> (3,2) = 3 | Lỗi:  8 | Conflicts: 14 | Tổng: 166.5754s | Sigma: 2.2393
Bước 325: Swap (6,4) = 2 <=> (7,4) = 1 | Lỗi:  6 | Conflicts: 11 | Tổng: 167.0916s | Sigma: 2.1947
Bước 326: Swap (8,4) = 2 <=> (6,4) = 3 | Lỗi:  6 | Conflicts: 11 | Tổng: 167.6074s | Sigma: 2.1727
Bước 327: Swap (6,0) = 1 <=> (6,2) = 6 | Lỗi:  8 | Conflicts: 14 | Tổng: 168.1234s | Sigma: 2.1510
Bước 328: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi: 10 | Conflicts: 18 | Tổng: 168.6384s | Sigma: 2.1082
Bước 329: Swap (6,0) = 3 <=> (7,2) = 1 | Lỗi:  9 | Conflicts: 17 | Tổng: 169.1544s | Sigma: 2.0663
Bước 330: Swap (4,2) = 7 <=> (3,0) = 9 | Lỗi:  9 | Conflicts: 16 | Tổng: 169.6694s | Sigma: 2.0456
Bước 331: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi:  5 | Conflicts: 10 | Tổng: 170.1853s | Sigma: 2.0251
Bước 332: Swap (6,0) = 6 <=> (6,2) = 3 | Lỗi:  5 | Conflicts: 9 | Tổng: 170.7011s | Sigma: 2.0049
Bước 333: Swap (0,0) = 4 <=> (1,2) = 7 | Lỗi:  9 | Conflicts: 15 | Tổng: 171.2161s | Sigma: 1.9848
Bước 334: Swap (7,4) = 3 <=> (6,4) = 1 | Lỗi:  8 | Conflicts: 14 | Tổng: 171.7322s | Sigma: 1.9650
Bước 335: Swap (6,4) = 2 <=> (8,4) = 1 | Lỗi:  6 | Conflicts: 10 | Tổng: 172.2479s | Sigma: 1.9259
Bước 336: Swap (3,0) = 7 <=> (4,2) = 9 | Lỗi:  6 | Conflicts: 11 | Tổng: 172.7674s | Sigma: 1.9066
Bước 337: Swap (3,2) = 7 <=> (3,0) = 3 | Lỗi:  6 | Conflicts: 9 | Tổng: 173.2820s | Sigma: 1.8876
Bước 338: Swap (0,0) = 7 <=> (1,2) = 4 | Lỗi:  2 | Conflicts: 4 | Tổng: 173.7973s | Sigma: 1.8315
Bước 339: Swap (3,0) = 9 <=> (4,2) = 3 | Lỗi:  4 | Conflicts: 7 | Tổng: 174.3128s | Sigma: 1.7071
Bước 340: Swap (6,2) = 6 <=> (6,0) = 3 | Lỗi:  4 | Conflicts: 8 | Tổng: 174.8290s | Sigma: 1.5911
Bước 341: Swap (4,2) = 9 <=> (3,0) = 3 | Lỗi:  4 | Conflicts: 8 | Tổng: 175.3444s | Sigma: 1.5594
Bước 342: Swap (3,2) = 3 <=> (3,0) = 7 | Lỗi:  4 | Conflicts: 7 | Tổng: 175.8590s | Sigma: 1.5439
Bước 343: Swap (4,2) = 7 <=> (3,0) = 9 | Lỗi:  2 | Conflicts: 4 | Tổng: 176.3751s | Sigma: 1.5131
Bước 344: Swap (6,0) = 6 <=> (6,2) = 3 | Lỗi:  2 | Conflicts: 4 | Tổng: 176.8907s | Sigma: 1.4535
Bước 345: Swap (4,2) = 9 <=> (3,0) = 7 | Lỗi:  4 | Conflicts: 7 | Tổng: 177.4064s | Sigma: 1.4390
Bước 346: Swap (4,2) = 3 <=> (3,2) = 9 | Lỗi:  4 | Conflicts: 6 | Tổng: 177.9225s | Sigma: 1.3823
Bước 347: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi:  6 | Conflicts: 10 | Tổng: 178.4375s | Sigma: 1.3548
Bước 348: Swap (0,0) = 7 <=> (1,2) = 4 | Lỗi:  4 | Conflicts: 6 | Tổng: 178.9533s | Sigma: 1.3412
Bước 349: Swap (3,2) = 7 <=> (3,0) = 9 | Lỗi:  4 | Conflicts: 7 | Tổng: 179.4694s | Sigma: 1.3278
Bước 350: Swap (4,2) = 7 <=> (3,2) = 3 | Lỗi:  2 | Conflicts: 4 | Tổng: 179.9865s | Sigma: 1.2376
Bước 351: Swap (6,4) = 1 <=> (8,4) = 2 | Lỗi:  4 | Conflicts: 8 | Tổng: 180.5028s | Sigma: 1.1420
Bước 352: Swap (3,2) = 9 <=> (3,0) = 3 | Lỗi:  2 | Conflicts: 4 | Tổng: 181.0185s | Sigma: 1.1193
Bước 353: Swap (6,4) = 2 <=> (8,4) = 1 | Lỗi:  0 | Conflicts: 0 | Tổng: 181.5349s | Sigma: 1.0538
Hoàn tất sau 353 bước. Tổng thời gian: 182.0504 giây.
