=== Log giải Sudoku 9x9 bằng Simulated Annealing ===
Bước 43: Swap (6,0) = 6 <=> (6,2) = 3 | Lỗi: 15 | Conflicts: 24 | Tổng: 21.6543s | Sigma: 64.2612
Bước 44: Swap (7,4) = 1 <=> (6,4) = 2 | Lỗi: 14 | Conflicts: 22 | Tổng: 22.1706s | Sigma: 63.6185
Bước 45: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi: 10 | Conflicts: 17 | Tổng: 22.6866s | Sigma: 62.9824
Bước 46: Swap (6,2) = 6 <=> (6,0) = 3 | Lỗi: 10 | Conflicts: 18 | Tổng: 23.2022s | Sigma: 62.3525
Bước 47: Swap (8,4) = 2 <=> (6,4) = 3 | Lỗi: 11 | Conflicts: 20 | Tổng: 23.7174s | Sigma: 61.7290
Bước 48: Swap (7,7) = 7 <=> (8,8) = 6 | Lỗi:  7 | Conflicts: 14 | Tổng: 24.2332s | Sigma: 61.1117
Bước 49: Swap (6,4) = 2 <=> (8,4) = 3 | Lỗi:  6 | Conflicts: 12 | Tổng: 24.7511s | Sigma: 60.5006
Bước 50: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi: 10 | Conflicts: 18 | Tổng: 25.2666s | Sigma: 59.2966
Bước 51: Swap (3,2) = 3 <=> (4,2) = 7 | Lỗi:  8 | Conflicts: 14 | Tổng: 25.7821s | Sigma: 58.7037
Bước 52: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi: 12 | Conflicts: 20 | Tổng: 26.2973s | Sigma: 58.1166
Bước 53: Swap (0,0) = 7 <=> (1,2) = 4 | Lỗi:  8 | Conflicts: 14 | Tổng: 26.8139s | Sigma: 57.5355
Bước 54: Swap (6,4) = 3 <=> (8,4) = 2 | Lỗi:  9 | Conflicts: 16 | Tổng: 27.3293s | Sigma: 56.9601
Bước 55: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi: 13 | Conflicts: 22 | Tổng: 27.8450s | Sigma: 56.3905
Bước 56: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi:  9 | Conflicts: 16 | Tổng: 28.3674s | Sigma: 55.8266
Bước 57: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi: 13 | Conflicts: 22 | Tổng: 28.8833s | Sigma: 55.2683
Bước 58: Swap (6,4) = 2 <=> (8,4) = 3 | Lỗi: 12 | Conflicts: 20 | Tổng: 29.3996s | Sigma: 54.7157
Bước 59: Swap (0,0) = 7 <=> (1,2) = 4 | Lỗi:  8 | Conflicts: 14 | Tổng: 29.9153s | Sigma: 54.1685
Bước 60: Swap (3,0) = 7 <=> (4,2) = 9 | Lỗi: 10 | Conflicts: 17 | Tổng: 30.4315s | Sigma: 53.6268
Bước 61: Swap (8,8) = 6 <=> (7,7) = 7 | Lỗi:  6 | Conflicts: 11 | Tổng: 30.9473s | Sigma: 53.0906
Bước 62: Swap (3,2) = 7 <=> (3,0) = 3 | Lỗi:  6 | Conflicts: 12 | Tổng: 31.4633s | Sigma: 52.5596
Bước 63: Swap (3,2) = 9 <=> (4,2) = 7 | Lỗi:  4 | Conflicts: 8 | Tổng: 31.9792s | Sigma: 52.0341
Bước 64: Swap (3,0) = 9 <=> (3,2) = 3 | Lỗi:  4 | Conflicts: 8 | Tổng: 32.4959s | Sigma: 51.5137
Bước 65: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi:  8 | Conflicts: 14 | Tổng: 33.0114s | Sigma: 50.9986
Bước 66: Swap (7,7) = 6 <=> (8,8) = 7 | Lỗi: 12 | Conflicts: 20 | Tổng: 33.5266s | Sigma: 50.4886
Bước 67: Swap (7,7) = 7 <=> (8,8) = 6 | Lỗi:  8 | Conflicts: 14 | Tổng: 34.0412s | Sigma: 49.9837
Bước 68: Swap (3,0) = 3 <=> (3,2) = 9 | Lỗi:  8 | Conflicts: 14 | Tổng: 34.5564s | Sigma: 49.4839
Bước 69: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi:  4 | Conflicts: 8 | Tổng: 35.0722s | Sigma: 48.9890
Bước 70: Swap (7,4) = 2 <=> (6,4) = 1 | Lỗi:  5 | Conflicts: 10 | Tổng: 35.5877s | Sigma: 48.4991
Bước 71: Swap (7,7) = 6 <=> (8,8) = 7 | Lỗi:  9 | Conflicts: 16 | Tổng: 36.1033s | Sigma: 48.0141
Bước 72: Swap (3,0) = 9 <=> (3,2) = 3 | Lỗi:  9 | Conflicts: 16 | Tổng: 36.6185s | Sigma: 47.5340
Bước 73: Swap (8,8) = 6 <=> (7,7) = 7 | Lỗi:  5 | Conflicts: 10 | Tổng: 37.1345s | Sigma: 47.0587
Bước 74: Swap (7,7) = 6 <=> (8,8) = 7 | Lỗi:  9 | Conflicts: 16 | Tổng: 37.6503s | Sigma: 46.5881
Bước 75: Swap (7,4) = 3 <=> (8,4) = 2 | Lỗi:  8 | Conflicts: 14 | Tổng: 38.1651s | Sigma: 46.1222
Bước 76: Swap (6,4) = 3 <=> (7,4) = 1 | Lỗi:  9 | Conflicts: 16 | Tổng: 38.6820s | Sigma: 45.6610
Bước 77: Swap (3,2) = 7 <=> (4,2) = 3 | Lỗi: 11 | Conflicts: 20 | Tổng: 39.1974s | Sigma: 45.2044
Bước 78: Swap (0,0) = 4 <=> (1,2) = 7 | Lỗi: 15 | Conflicts: 25 | Tổng: 39.7122s | Sigma: 44.7523
Bước 79: Swap (6,0) = 1 <=> (7,2) = 3 | Lỗi: 16 | Conflicts: 25 | Tổng: 40.2271s | Sigma: 44.3048
Bước 80: Swap (8,8) = 6 <=> (7,7) = 7 | Lỗi: 12 | Conflicts: 19 | Tổng: 40.7425s | Sigma: 43.8618
Bước 81: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi:  8 | Conflicts: 14 | Tổng: 41.2584s | Sigma: 43.4231
Bước 82: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi: 12 | Conflicts: 20 | Tổng: 41.7751s | Sigma: 42.9889
Bước 83: Swap (4,2) = 7 <=> (3,2) = 3 | Lỗi: 10 | Conflicts: 17 | Tổng: 42.2943s | Sigma: 42.5590
Bước 84: Swap (8,8) = 6 <=> (7,7) = 7 | Lỗi:  6 | Conflicts: 11 | Tổng: 42.8104s | Sigma: 42.1334
Bước 85: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi: 10 | Conflicts: 17 | Tổng: 43.3273s | Sigma: 41.7121
Bước 86: Swap (4,2) = 9 <=> (3,0) = 7 | Lỗi: 12 | Conflicts: 20 | Tổng: 43.8432s | Sigma: 41.2950
Bước 87: Swap (7,2) = 1 <=> (6,0) = 3 | Lỗi: 11 | Conflicts: 19 | Tổng: 44.3583s | Sigma: 40.8820
Bước 88: Swap (6,0) = 6 <=> (6,2) = 3 | Lỗi: 11 | Conflicts: 18 | Tổng: 44.8742s | Sigma: 40.4732
Bước 89: Swap (3,0) = 3 <=> (3,2) = 7 | Lỗi:  9 | Conflicts: 16 | Tổng: 45.3906s | Sigma: 40.0685
Bước 90: Swap (7,7) = 7 <=> (8,8) = 6 | Lỗi:  5 | Conflicts: 10 | Tổng: 45.9064s | Sigma: 39.6678
Bước 91: Swap (6,0) = 3 <=> (6,2) = 6 | Lỗi:  7 | Conflicts: 13 | Tổng: 46.4224s | Sigma: 39.2711
Bước 92: Swap (7,4) = 2 <=> (8,4) = 1 | Lỗi:  6 | Conflicts: 11 | Tổng: 46.9384s | Sigma: 38.4896
Bước 93: Swap (7,7) = 6 <=> (8,8) = 7 | Lỗi: 10 | Conflicts: 17 | Tổng: 47.4547s | Sigma: 38.1047
Bước 94: Swap (6,2) = 1 <=> (7,2) = 6 | Lỗi: 12 | Conflicts: 19 | Tổng: 47.9693s | Sigma: 37.7237
Bước 95: Swap (0,0) = 4 <=> (1,2) = 7 | Lỗi: 16 | Conflicts: 24 | Tổng: 48.4853s | Sigma: 37.3464
Bước 96: Swap (8,8) = 6 <=> (7,7) = 7 | Lỗi: 12 | Conflicts: 19 | Tổng: 49.0014s | Sigma: 36.9730
Bước 97: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi: 16 | Conflicts: 24 | Tổng: 49.5174s | Sigma: 36.6032
Bước 98: Swap (6,4) = 2 <=> (7,4) = 3 | Lỗi: 14 | Conflicts: 21 | Tổng: 50.0333s | Sigma: 36.2372
Bước 99: Swap (7,2) = 1 <=> (6,2) = 6 | Lỗi: 12 | Conflicts: 19 | Tổng: 50.5483s | Sigma: 35.8748
Bước 100: Swap (6,2) = 1 <=> (7,2) = 6 | Lỗi: 14 | Conflicts: 21 | Tổng: 51.0643s | Sigma: 35.5161
Bước 101: Swap (0,0) = 7 <=> (1,2) = 4 | Lỗi: 10 | Conflicts: 16 | Tổng: 51.5806s | Sigma: 35.1609
Bước 102: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi: 14 | Conflicts: 21 | Tổng: 52.0963s | Sigma: 34.8093
Bước 103: Swap (6,0) = 1 <=> (6,2) = 3 | Lỗi: 14 | Conflicts: 20 | Tổng: 52.6121s | Sigma: 34.4612
Bước 104: Swap (8,4) = 3 <=> (7,4) = 1 | Lỗi: 15 | Conflicts: 22 | Tổng: 53.1274s | Sigma: 34.1166
Bước 105: Swap (8,4) = 1 <=> (7,4) = 3 | Lỗi: 14 | Conflicts: 20 | Tổng: 53.6433s | Sigma: 33.7754
Bước 106: Swap (7,7) = 7 <=> (8,8) = 6 | Lỗi: 10 | Conflicts: 15 | Tổng: 54.1584s | Sigma: 33.4377
Bước 107: Swap (6,0) = 6 <=> (7,2) = 1 | Lỗi:  6 | Conflicts: 9 | Tổng: 54.6744s | Sigma: 33.1033
Bước 108: Swap (6,2) = 6 <=> (6,0) = 3 | Lỗi:  8 | Conflicts: 13 | Tổng: 55.1905s | Sigma: 32.7723
Bước 109: Swap (0,0) = 7 <=> (1,2) = 4 | Lỗi:  4 | Conflicts: 8 | Tổng: 55.7058s | Sigma: 32.4446
Bước 110: Swap (6,2) = 1 <=> (7,2) = 6 | Lỗi:  6 | Conflicts: 11 | Tổng: 56.2214s | Sigma: 32.1201
Bước 111: Swap (0,0) = 4 <=> (1,2) = 7 | Lỗi: 10 | Conflicts: 16 | Tổng: 56.7374s | Sigma: 31.7989
Bước 112: Swap (4,2) = 3 <=> (3,0) = 9 | Lỗi: 10 | Conflicts: 16 | Tổng: 57.2538s | Sigma: 31.4809
Bước 113: Swap (3,0) = 7 <=> (3,2) = 9 | Lỗi:  8 | Conflicts: 14 | Tổng: 57.7694s | Sigma: 31.1661
