=== Log giải Sudoku 9x9 bằng Simulated Annealing ===
Bước 43: Swap (4,4) = 4 <=> (5,5) = 6 | Lỗi: 14 | Conflicts: 19 | Tổng: 21.7566s | Sigma: 63.6185
Bước 44: Swap (0,3) = 7 <=> (2,5) = 5 | Lỗi: 10 | Conflicts: 15 | Tổng: 22.2773s | Sigma: 62.9824
Bước 45: Swap (4,6) = 1 <=> (5,7) = 7 | Lỗi:  6 | Conflicts: 9 | Tổng: 22.7970s | Sigma: 62.3525
Bước 46: Swap (4,1) = 2 <=> (3,2) = 5 | Lỗi:  2 | Conflicts: 4 | Tổng: 23.3110s | Sigma: 61.7290
Bước 47: Swap (4,6) = 7 <=> (5,7) = 1 | Lỗi:  6 | Conflicts: 10 | Tổng: 23.8286s | Sigma: 61.1117
Bước 48: Swap (4,4) = 6 <=> (5,5) = 4 | Lỗi: 10 | Conflicts: 16 | Tổng: 24.3472s | Sigma: 60.5006
Bước 49: Swap (0,0) = 5 <=> (0,1) = 6 | Lỗi:  8 | Conflicts: 12 | Tổng: 24.8654s | Sigma: 59.8956
Bước 50: Swap (2,5) = 7 <=> (0,3) = 5 | Lỗi: 12 | Conflicts: 17 | Tổng: 25.3845s | Sigma: 59.2966
Bước 51: Swap (5,5) = 7 <=> (3,5) = 4 | Lỗi: 12 | Conflicts: 17 | Tổng: 25.9031s | Sigma: 58.7037
Bước 52: Swap (4,6) = 1 <=> (5,7) = 7 | Lỗi:  9 | Conflicts: 13 | Tổng: 26.4220s | Sigma: 58.1166
Bước 53: Swap (3,2) = 4 <=> (5,2) = 5 | Lỗi: 11 | Conflicts: 16 | Tổng: 26.9368s | Sigma: 57.5355
Bước 54: Swap (3,2) = 2 <=> (4,1) = 4 | Lỗi: 13 | Conflicts: 20 | Tổng: 27.4513s | Sigma: 56.3905
Bước 55: Swap (5,5) = 4 <=> (3,5) = 7 | Lỗi: 11 | Conflicts: 18 | Tổng: 27.9671s | Sigma: 55.8266
Bước 56: Swap (4,6) = 7 <=> (5,7) = 1 | Lỗi: 15 | Conflicts: 23 | Tổng: 28.4850s | Sigma: 55.2683
Bước 57: Swap (2,8) = 6 <=> (1,6) = 9 | Lỗi: 19 | Conflicts: 29 | Tổng: 29.0020s | Sigma: 54.7157
Bước 58: Swap (0,1) = 5 <=> (0,0) = 6 | Lỗi: 21 | Conflicts: 32 | Tổng: 29.5203s | Sigma: 54.1685
Bước 59: Swap (5,7) = 7 <=> (4,6) = 1 | Lỗi: 17 | Conflicts: 27 | Tổng: 30.0384s | Sigma: 53.6268
Bước 60: Swap (0,3) = 7 <=> (2,5) = 5 | Lỗi: 13 | Conflicts: 22 | Tổng: 30.5583s | Sigma: 53.0906
Bước 61: Swap (5,5) = 7 <=> (3,5) = 4 | Lỗi: 15 | Conflicts: 25 | Tổng: 31.0761s | Sigma: 52.5596
Bước 62: Swap (3,2) = 4 <=> (4,1) = 2 | Lỗi: 13 | Conflicts: 21 | Tổng: 31.5930s | Sigma: 52.0341
Bước 63: Swap (5,5) = 6 <=> (4,4) = 7 | Lỗi: 12 | Conflicts: 19 | Tổng: 32.1112s | Sigma: 51.5137
Bước 64: Swap (2,8) = 9 <=> (1,6) = 6 | Lỗi:  8 | Conflicts: 13 | Tổng: 32.6294s | Sigma: 50.9986
Bước 65: Swap (5,7) = 1 <=> (4,6) = 7 | Lỗi: 12 | Conflicts: 18 | Tổng: 33.1468s | Sigma: 50.4886
Bước 66: Swap (4,1) = 4 <=> (3,2) = 2 | Lỗi: 14 | Conflicts: 22 | Tổng: 33.6640s | Sigma: 49.9837
